"X1772066100_D04" "X1772063062_G01" "X1772060224_F07" "X1772071035_G09" "X1772067066_E12" "X1772066100_B01" "X1772067096_G10" "X1772071017_B11" "X1772062109_A07" "X1772067065_F11" "X1772066100_G07" "X1772067073_C01" "X1772066098_D07" "X1772066070_H10" "X1772067093_A10" "X1772071044_C01" "X1772066070_A11" "X1772066076_A11" "X1772071017_A09" "X1772063078_C07" "X1772063078_B07" "X1772062116_E08" "X1772060225_A07" "X1772058171_G01" "X1772067059_A07" "X1772067074_D04" "X1772067065_H06" "X1772062115_E07" "X1772060225_D09" "X1772066098_C02" "X1772066073_E09" "X1772067096_A01" "X1772066080_A04" "X1772066100_A05" "X1772071035_G06" "X1772066102_B06" "X1772071036_E06" "X1772063077_D02" "X1772071017_B01" "X1772071017_A10" "X1772062115_G12" "X1772067073_H07" "X1772066096_C05" "X1772071044_H10" "X1772063074_A01" "X1772058171_F05" "X1772067083_G04" "X1772071035_E06" "X1772067058_C04" "X1772062116_B01" "X1772067082_F08" "X1772071017_B03" "X1772063068_D06" "X1772067058_C05" "X1772067073_E04" "X1772063074_G10" "X1772071044_F10" "X1772062128_C04" "X1772071041_E05" "X1772066102_F06" "X1772066076_F11" "X1772071044_A03" "X1772067059_E12" "X1772066108_E06" "X1772067058_E08" "X1772063061_B03" "X1772067065_F07" "X1772063068_G06" "X1772066076_A07" "X1772066099_C12" "X1772067065_E07" "X1772067094_C07" "X1772066107_H06" "X1772062114_H12" "X1772067094_H11" "X1772062114_H10" "X1772071014_D03" "X1772067066_C06" "X1772067073_E11" "X1772062113_C09" "X1772067093_H07" "X1772066101_F04" "X1772062111_G03" "X1772067057_B09" "X1772067059_H04" "X1772066101_E12" "X1772062113_G01" "X1772067057_G05" "X1772071045_H03" "X1772066095_G03" "X1772066098_A01" "X1772067058_B03" "X1772060240_C04" "X1772066096_B07" "X1772067064_E04" "X1772067070_H09" "X1772063071_H02" "X1772062111_D11" "X1772066098_B12" "X1772071014_E05" "X1772067083_F08" "X1772063079_C12" "X1772066100_E09" "X1772062109_H02" "X1772066074_C08" "X1772060226_D12" "X1772062118_F04" "X1772063061_G08" "X1772058148_H08" "X1772067059_H12" "X1772066102_G12" "X1772060226_H02" "X1772066108_D06" "X1772063074_C12" "X1772062128_E08" "X1772066070_H05" "X1772066102_A09" "X1772067082_A01" "X1772071036_C12" "X1772066100_D08" "X1772060225_D07" "X1772063062_C11" "X1772066103_C03" "X1772062114_B09" "X1772066107_B12" "X1772071015_D06" "X1772071017_A06" "X1772066097_C11" "X1772066070_F04" "X1772066101_G05" "X1772062128_A07" "X1772067057_H06" "X1772060226_F12" "X1772063078_C08" "X1772066099_H05" "X1772066101_D08" "X1772062116_C11" "X1772071035_G04" "X1772063078_H04" "X1772067059_E06" "X1772060225_C02" "X1772062115_D05" "X1772058171_B09" "X1772066077_G12" "X1772060226_B03" "X1772060226_C07" "X1772066073_F08" "X1772063071_B11" "X1772062128_G11" "X1772067076_F05" "X1772067066_E10" "X1772063063_G08" "X1772066101_H08" "X1772067083_H04" "X1772063064_E06" "X1772067076_A06" "X1772066099_E06" "X1772067058_H10" "X1772071036_A09" "X1772071036_A06" "X1772071045_H07" "X1772062116_E02" "X1772067070_C04" "X1772067054_G12" "X1772063071_H07" "X1772066099_H03" "X1772062111_G01" "X1772067083_B12" "X1772067059_B06" "X1772062118_B03" "X1772062113_C03" "X1772067058_H08" "X1772062116_G09" "X1772066098_C05" "X1772067059_G12" "X1772062128_F05" "X1772067065_F10" "X1772067082_H03" "X1772062115_B06" "X1772063065_F12" "X1772066099_B06" "X1772060224_A01" "X1772066074_C01" "X1772071040_H06" "X1772066102_B05" "X1772066098_B02" "X1772071035_F05" "X1772067069_C11" "X1772067082_D07" "X1772071045_E10" "X1772067058_H05" "X1772063074_G12" "X1772067094_A02" "X1772066077_C12" "X1772062118_D02" "X1772067064_B10" "X1772066098_B06" "X1772060240_D05" "X1772062118_A11" "X1772062128_F01"
"Fbxl16" 1 0 0 23 0 3 4 7 0 7 2 0 0 4 1 0 2 0 12 0 0 1 0 0 8 1 4 0 0 0 3 0 7 3 6 0 0 1 3 11 0 0 4 3 0 0 3 22 1 1 3 4 1 10 1 0 4 1 0 4 0 4 26 2 0 2 4 0 0 2 2 0 18 0 11 0 2 0 0 0 2 5 1 0 14 1 0 26 1 5 0 0 3 5 14 0 0 0 0 6 2 0 0 0 19 1 0 0 3 5 2 0 1 0 0 3 5 1 10 3 2 0 4 0 1 8 9 3 6 0 0 5 3 0 0 1 0 1 0 6 0 0 0 5 0 1 1 0 0 3 2 1 0 1 0 6 12 4 21 1 11 0 0 0 0 2 0 1 5 0 2 2 0 3 6 0 1 2 1 0 13 2 12 0 10 2 1 1 7 5 6 0 6 0 0 0 0 1 0 1
"Pdxp" 1 0 0 8 0 0 0 3 0 5 0 2 0 2 2 1 4 0 7 0 0 0 0 0 2 0 0 0 0 0 3 0 1 0 1 1 0 0 2 3 0 0 2 11 0 0 2 4 0 1 3 0 0 5 1 0 2 0 0 2 0 2 5 5 0 1 3 0 0 3 0 0 5 0 4 0 2 0 0 0 1 5 0 0 4 0 0 13 0 1 0 0 4 3 6 0 0 0 0 0 1 0 1 0 3 0 0 0 1 3 3 0 0 0 0 0 3 0 7 1 0 0 1 0 1 4 4 3 0 0 0 3 0 0 0 2 0 4 0 0 0 0 0 2 0 0 1 0 0 4 6 0 0 2 0 3 6 1 3 0 4 0 0 0 0 1 0 6 4 0 1 1 0 0 3 0 4 4 0 0 2 0 0 0 2 0 1 0 2 1 4 0 1 0 0 0 0 0 0 0
"Caskin1" 5 0 1 1 0 0 3 3 0 1 0 0 0 1 0 0 1 0 3 0 1 0 0 2 1 0 1 0 0 0 2 0 0 1 3 0 1 0 7 9 0 2 0 8 1 0 1 3 0 0 0 4 0 0 2 0 1 3 0 4 0 2 3 5 0 1 0 2 0 2 2 0 0 0 5 0 4 1 0 0 4 5 1 0 7 2 0 5 0 0 0 1 2 1 8 0 1 0 1 2 3 0 2 0 4 0 0 0 0 3 9 0 0 0 0 0 1 0 1 4 0 2 0 0 0 1 3 2 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 2 0 0 1 2 0 1 2 1 2 0 0 3 4 4 6 2 6 0 0 0 0 0 0 1 2 1 2 1 0 0 3 0 3 0 0 0 2 1 1 0 2 1 2 2 4 1 6 0 3 0 0 0 0 0 0 0
"Celf2" 0 4 8 48 0 7 30 16 0 11 1 8 6 19 4 3 19 0 33 1 0 0 0 3 15 3 31 0 0 3 20 6 11 0 20 7 0 1 9 14 1 6 7 6 0 0 6 38 0 17 8 14 1 21 7 0 20 5 0 13 0 4 52 12 2 2 14 1 4 1 7 1 37 0 80 0 16 7 0 0 25 4 2 1 46 5 0 21 0 9 0 1 6 20 21 0 11 0 0 16 4 3 5 3 25 0 0 3 8 12 4 7 4 0 0 14 23 3 27 1 0 1 8 0 8 13 36 10 23 0 3 18 0 1 6 10 0 0 2 14 1 0 0 25 0 0 15 0 5 10 9 0 0 3 4 18 9 14 37 16 34 0 0 0 0 5 0 4 17 2 1 3 2 4 18 5 6 9 3 1 24 1 13 0 20 5 19 7 11 13 13 0 20 13 0 0 0 1 1 10
"D17Wsu92e" 0 1 1 0 0 0 0 2 0 7 2 1 1 0 0 0 0 0 5 1 0 0 0 0 2 0 4 0 0 0 2 0 4 1 2 0 0 0 3 0 0 0 2 8 0 0 3 2 0 2 0 2 2 3 0 0 0 1 0 2 1 4 4 2 6 0 1 0 1 0 1 0 1 4 1 0 3 0 0 0 2 4 0 0 8 0 0 3 0 1 0 2 0 9 1 0 3 4 0 1 1 0 0 1 3 1 0 0 0 5 2 0 1 0 0 0 2 0 2 0 0 0 2 0 0 5 6 0 1 0 0 0 0 2 1 0 0 1 0 1 0 0 0 0 1 0 2 0 0 2 1 0 0 0 0 2 2 1 4 2 2 0 0 0 0 3 0 2 4 0 1 0 0 1 0 0 0 0 0 0 5 0 0 2 1 0 0 0 1 1 2 0 0 2 0 1 1 0 0 0
"Nptx1" 0 0 5 20 0 0 8 0 0 0 0 0 0 1 1 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 3 1 0 0 0 0 0 0 2 0 0 0 0 20 0 0 1 0 0 2 3 0 1 0 0 1 0 2 10 3 0 0 1 0 1 0 0 0 6 2 2 0 0 0 0 0 0 0 0 0 6 2 0 8 0 1 0 0 0 6 0 0 0 0 0 0 0 0 3 0 5 0 3 2 0 6 0 0 0 0 0 4 2 0 6 0 0 0 1 0 0 0 4 2 3 0 0 4 1 0 3 2 0 0 0 0 0 0 0 5 0 0 7 0 0 6 0 0 0 0 0 3 5 4 11 1 10 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 11 2 1 0 0 0 4 0 3 0 0 0 0 0 0 0
"Pkia" 1 0 0 3 0 0 0 9 0 6 2 0 0 1 0 0 0 0 6 0 2 0 0 0 1 0 2 0 0 1 3 0 0 1 1 0 1 0 2 2 0 0 0 10 0 0 1 3 0 0 1 3 0 4 0 0 1 0 0 0 0 0 2 7 1 0 15 0 0 2 6 0 3 1 5 0 7 0 0 0 0 4 0 0 2 1 0 3 0 1 0 0 0 4 4 0 0 0 0 2 0 0 1 0 0 0 1 0 1 2 3 0 0 0 0 0 3 0 2 3 0 0 1 0 3 4 2 1 7 0 0 2 0 0 1 1 0 6 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 3 1 2 0 2 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 3 1 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0
"Epha5" 2 0 0 13 0 1 7 0 0 0 7 6 0 5 0 0 3 0 3 0 0 0 0 0 3 0 1 0 0 0 4 6 3 2 4 1 0 0 2 7 0 0 1 2 0 0 1 12 0 1 1 3 0 10 0 0 4 0 0 4 0 1 22 5 0 1 6 0 0 1 0 0 11 0 14 0 0 0 0 0 3 4 0 0 12 4 0 11 6 2 0 0 3 12 6 0 0 0 0 7 3 0 2 0 5 0 0 0 5 5 9 1 0 0 0 3 9 1 8 3 0 0 7 1 3 6 6 3 6 0 0 5 0 0 9 7 0 3 0 2 0 0 0 5 0 0 3 0 0 14 5 0 0 1 0 22 12 5 14 5 7 0 0 0 1 5 0 4 7 0 3 1 0 3 10 0 0 4 0 0 15 2 3 0 8 1 1 0 2 1 7 0 8 2 0 0 1 0 0 0
"Tnrc6b" 4 0 3 8 0 4 5 3 3 1 4 4 1 2 3 3 3 2 4 3 0 1 0 1 7 1 5 0 1 2 7 1 6 2 0 0 0 1 4 2 2 0 2 4 1 1 1 10 1 3 2 3 0 2 0 1 3 2 0 4 0 1 22 4 1 2 2 2 1 2 10 1 12 5 11 0 0 0 1 0 1 1 2 3 15 2 2 10 2 1 0 1 3 12 0 0 1 2 0 2 3 2 0 2 5 1 0 3 5 2 11 0 2 0 1 5 2 2 14 0 0 1 4 2 5 6 9 1 9 2 0 5 4 0 4 3 3 3 2 4 0 0 4 4 3 0 5 0 0 3 6 0 2 0 1 7 7 3 6 1 7 1 1 0 4 1 2 3 3 4 4 3 1 4 7 2 5 4 4 0 8 0 2 3 9 2 1 0 4 3 9 2 2 3 1 1 2 0 1 0
"Pik3r1" 1 0 0 3 0 1 0 3 1 1 0 1 2 1 0 0 2 4 9 0 0 3 0 6 2 1 4 0 0 1 6 0 3 3 1 0 0 0 3 2 0 0 0 0 1 0 2 3 0 0 1 2 0 0 3 0 0 0 0 4 0 1 1 1 2 1 3 0 7 1 5 0 3 0 4 0 0 1 0 2 0 0 0 1 3 3 2 2 1 0 0 0 3 4 1 0 0 3 1 1 0 0 0 0 5 2 0 2 1 4 1 1 5 0 0 0 1 2 2 0 0 1 1 0 3 3 1 0 1 0 0 0 2 0 2 0 0 7 0 1 0 0 0 0 0 0 1 0 0 1 1 4 1 0 0 4 7 1 2 1 11 1 2 0 2 0 1 0 4 0 0 1 0 0 1 0 0 2 1 0 2 1 3 0 2 0 0 0 0 2 2 5 0 0 1 0 1 0 0 0
"Hnrnpl" 1 4 0 2 2 3 0 6 0 4 3 3 1 3 3 0 1 6 7 2 0 0 0 1 3 2 3 0 1 3 7 2 3 1 5 0 0 0 7 7 2 2 1 6 1 0 1 9 0 1 3 5 0 6 0 1 2 0 0 4 0 0 5 3 3 1 3 2 0 2 4 3 11 1 6 0 5 0 1 0 1 5 1 0 6 2 2 10 0 2 0 0 2 5 10 2 1 2 0 4 4 0 0 0 4 2 0 2 0 7 7 3 0 0 1 1 3 5 12 1 0 0 1 0 2 9 3 3 2 0 0 5 0 3 1 4 1 3 2 2 0 1 1 0 1 4 2 0 1 6 5 2 2 0 0 4 6 5 5 0 5 0 1 2 1 3 2 1 3 2 3 2 0 1 8 0 4 1 1 0 6 0 3 3 3 4 5 1 4 3 8 0 2 4 0 3 1 1 1 0
"Tspan7" 4 5 1 12 0 1 12 35 0 30 1 8 25 6 4 11 3 11 53 0 0 0 1 1 6 0 11 0 2 12 15 3 4 2 3 1 29 4 17 40 0 14 1 17 0 0 13 23 0 21 5 10 6 3 17 1 5 4 1 4 1 15 17 9 17 2 14 3 0 3 12 0 18 0 14 0 8 13 0 0 13 9 6 1 15 2 0 11 0 1 6 6 5 12 30 1 14 0 10 22 3 0 3 1 9 0 0 2 13 7 11 1 0 0 4 14 10 3 22 12 1 6 4 2 2 39 20 5 8 12 0 8 0 2 5 4 1 16 0 3 0 2 1 2 0 2 3 3 0 4 37 26 0 3 4 13 7 6 15 4 15 0 1 2 4 0 1 2 38 0 9 4 1 2 3 0 11 4 0 0 11 2 7 0 1 3 3 15 28 5 8 2 9 5 0 1 26 15 1 5
"Cdk5r1" 2 1 1 18 1 3 8 10 0 9 1 1 0 4 2 2 9 0 5 1 1 0 1 0 9 0 1 0 1 0 8 2 6 3 8 1 0 2 3 5 0 1 6 8 0 0 1 27 0 2 6 4 0 12 0 0 5 0 0 3 0 2 18 1 0 4 5 0 1 4 5 0 17 0 9 0 4 1 0 0 6 4 0 1 16 4 0 17 3 0 0 0 0 8 6 0 1 0 0 3 4 0 7 0 18 0 0 0 1 14 6 0 0 0 0 5 13 3 23 3 1 0 1 0 0 6 11 4 12 0 0 6 3 0 3 7 0 2 0 1 0 0 0 6 0 0 11 0 0 4 2 1 0 0 0 12 9 13 22 4 13 0 0 0 0 5 0 2 4 1 0 3 1 5 12 0 1 2 0 0 14 0 4 0 6 1 1 0 5 6 13 0 9 7 0 0 1 1 0 0
"Mapk9" 0 0 0 2 0 1 0 3 0 2 1 0 0 0 1 0 0 1 10 0 1 0 0 1 0 0 1 0 0 0 1 0 1 4 0 0 0 0 3 6 0 0 1 6 0 0 1 2 1 0 2 1 0 3 0 0 0 0 0 0 0 2 3 3 1 0 4 0 0 0 8 0 4 0 0 0 4 0 0 0 7 6 3 0 0 0 0 2 3 0 0 0 2 3 8 0 0 1 0 6 4 0 0 1 6 0 0 0 1 4 5 0 0 1 1 0 2 0 2 2 0 0 1 1 0 7 8 3 4 0 0 1 0 0 0 0 0 2 0 2 0 0 0 1 0 1 1 0 0 2 3 0 0 1 0 2 2 2 6 0 4 0 1 0 0 0 0 4 9 0 1 0 0 0 2 0 2 2 0 0 1 0 0 0 0 1 1 3 6 1 1 0 0 4 0 0 0 0 0 2
"Cry2" 1 0 0 5 0 0 8 0 0 1 5 0 1 0 0 0 2 0 2 0 0 0 1 0 3 0 0 0 0 0 0 0 1 0 2 1 0 0 1 1 0 0 1 3 0 0 0 5 0 3 0 2 0 0 0 0 0 0 0 1 0 1 4 1 0 4 1 0 0 3 1 0 7 0 3 0 0 0 0 0 0 3 3 0 3 0 0 7 2 0 0 0 0 5 6 0 0 0 1 0 1 0 5 0 2 0 0 0 3 2 0 2 0 0 0 4 2 3 3 0 0 19 0 0 1 6 3 0 1 0 0 3 0 0 0 3 0 1 0 2 0 0 0 5 0 0 2 0 0 2 0 1 0 0 0 3 2 1 8 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 2 0 1 0 4 0 1 0 1 1 4 0 0 0 0 0 0 0 0 0
"Spred1" 0 1 0 1 0 0 0 6 2 3 0 0 1 0 1 1 1 1 8 0 0 0 0 0 1 2 0 0 0 0 3 3 1 0 1 1 1 0 1 1 0 0 1 2 0 0 2 3 0 2 1 1 0 2 0 1 0 0 1 3 2 1 2 4 3 0 4 1 0 0 2 0 4 1 1 2 3 0 1 1 2 3 0 0 5 0 2 2 1 0 0 0 1 1 0 0 0 0 0 4 1 0 1 0 3 1 0 2 3 1 3 3 3 0 0 0 2 0 6 0 0 2 0 1 2 3 2 0 2 1 1 2 0 0 1 0 3 1 2 2 1 0 0 1 0 1 1 0 0 0 1 1 0 0 2 3 2 4 3 1 2 0 0 2 0 0 2 1 3 0 0 0 0 0 2 0 1 0 0 1 0 0 1 0 0 1 0 1 5 0 0 0 0 1 0 2 3 2 0 0
"Ube2v2" 3 5 2 4 0 1 2 3 1 9 8 1 2 0 1 0 5 1 8 0 0 0 0 1 2 0 10 0 0 0 0 12 0 3 4 6 1 2 3 1 1 0 0 6 0 0 0 8 0 0 6 0 5 4 2 0 1 0 0 6 0 4 9 12 0 2 7 3 1 3 5 0 7 0 2 1 2 0 2 0 13 7 4 0 4 0 0 9 0 2 1 0 5 10 1 0 1 5 0 3 4 4 4 1 5 0 0 3 2 7 6 0 2 1 0 1 4 4 8 6 0 0 1 0 3 6 0 1 2 0 6 4 1 2 1 3 0 10 0 2 0 0 2 1 1 0 4 0 1 0 7 3 0 1 0 7 5 9 3 2 10 0 0 0 1 0 0 7 7 0 6 2 0 1 0 0 2 4 0 1 3 0 2 1 4 0 7 0 6 0 9 0 5 6 0 0 0 0 0 10
"Mapre2" 2 1 0 11 0 1 2 4 0 4 4 1 0 2 1 0 3 0 9 0 1 0 0 0 3 0 4 0 0 0 6 1 7 4 4 2 0 0 1 4 1 0 2 4 0 1 1 13 0 0 5 0 3 2 0 1 2 1 2 5 2 2 6 3 0 0 5 0 0 0 1 0 11 1 9 1 3 0 0 0 2 5 2 0 9 2 1 12 0 0 0 0 3 3 5 0 0 1 1 2 2 0 2 0 2 0 0 0 1 3 3 1 1 1 0 4 1 0 8 2 0 0 1 1 1 11 6 1 2 0 2 3 0 1 1 5 3 4 0 4 0 0 0 1 0 1 1 0 1 0 2 1 0 0 0 0 3 7 8 2 4 1 0 0 0 2 2 3 18 1 3 2 1 2 0 0 3 2 0 1 1 0 0 0 6 2 1 0 5 4 5 0 1 3 1 0 2 0 0 0
"Ptprs" 1 0 3 16 0 7 4 11 0 5 6 4 0 5 0 3 10 5 15 0 0 0 0 1 3 0 17 1 3 1 10 0 4 2 6 1 0 0 4 20 0 0 3 13 0 0 4 41 0 2 4 4 0 9 0 0 0 0 0 6 0 3 44 8 1 0 1 0 0 8 3 0 25 0 15 1 2 1 0 0 5 12 1 0 25 5 0 39 0 3 1 0 1 9 8 0 1 0 0 9 1 0 5 0 8 0 1 0 10 19 8 3 1 0 0 7 10 7 26 7 0 1 5 3 3 8 2 6 9 0 0 16 3 0 13 2 0 11 0 7 0 0 1 11 0 0 13 1 0 10 2 1 1 1 0 23 29 21 21 6 19 1 0 4 0 10 0 6 13 1 2 9 1 1 13 0 3 2 2 0 24 3 9 0 18 10 5 0 6 7 13 0 21 6 0 2 0 1 0 0
"Med13" 0 0 1 3 0 3 0 1 0 2 3 0 0 0 0 0 1 2 1 2 0 1 0 0 1 2 0 0 1 0 2 1 1 2 1 0 0 0 2 2 0 0 3 0 1 3 2 4 0 0 2 4 1 0 0 0 4 0 0 0 0 0 11 2 0 2 2 0 6 3 2 4 2 0 1 0 0 0 0 0 0 0 1 2 2 0 0 1 4 0 0 0 2 1 5 0 0 3 0 0 2 0 0 2 3 0 0 0 4 1 3 2 1 0 0 0 3 2 8 0 0 1 4 0 2 3 2 0 0 2 0 1 3 0 0 2 0 1 0 4 0 0 4 2 0 0 4 0 0 0 0 0 0 3 0 0 3 1 4 3 6 0 2 0 0 0 0 0 3 0 2 0 0 1 0 0 0 0 0 1 3 1 0 0 0 0 0 0 1 2 2 1 7 0 3 0 1 0 0 0
"Slc12a5" 1 0 0 17 0 1 9 9 0 11 5 4 0 2 4 0 5 0 18 0 0 0 0 0 4 0 3 0 0 0 13 2 8 2 3 0 0 0 7 9 0 0 2 8 0 0 3 21 0 3 4 3 0 8 0 0 6 0 0 5 0 4 25 3 0 0 5 0 0 2 2 0 25 0 13 0 2 0 0 0 2 5 0 0 19 3 0 8 2 1 0 0 4 10 13 0 0 0 0 11 2 0 3 2 16 0 1 0 7 7 6 0 0 0 0 9 8 4 17 3 0 0 5 0 6 13 6 4 7 0 1 9 0 0 2 3 0 14 0 6 0 0 0 6 0 0 11 0 0 1 6 0 0 1 0 11 12 9 8 5 11 0 0 0 0 1 0 4 23 0 1 4 0 2 6 0 2 7 0 0 11 1 5 0 17 1 5 0 4 7 17 0 4 12 0 0 0 0 0 0
"Ralgps2" 2 0 1 5 0 1 0 2 0 0 1 0 0 1 0 0 3 0 6 0 0 1 0 0 2 0 1 0 0 0 5 3 1 2 1 0 0 0 8 0 0 0 0 1 0 0 2 4 0 1 1 2 1 2 5 0 3 0 0 3 0 0 6 1 1 7 4 2 2 10 2 0 3 0 2 0 0 0 0 0 0 1 1 0 2 0 0 8 1 2 0 0 2 2 2 0 0 0 0 2 0 0 0 0 4 0 0 0 3 1 1 0 0 0 0 3 3 0 5 0 0 0 0 0 2 0 1 2 2 1 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 11 0 4 2 0 0 0 0 6 5 2 1 5 3 0 0 0 0 4 0 3 0 0 0 1 0 1 8 0 0 0 0 0 2 0 2 0 5 1 2 0 3 0 5 0 0 4 0 0 0 0 2 0
"Crtac1" 0 0 0 11 0 3 1 13 0 9 0 2 0 0 2 0 0 0 3 0 0 0 0 3 2 0 0 0 0 0 0 7 0 0 4 2 0 0 10 7 0 0 1 0 0 0 2 13 0 0 2 19 0 0 0 0 0 0 0 0 0 0 1 7 0 0 5 0 0 0 1 0 9 0 5 0 18 0 0 0 9 1 2 0 3 2 0 1 1 0 0 0 3 1 11 0 0 0 0 4 0 0 5 0 5 0 0 0 6 9 0 0 0 0 0 2 2 0 6 0 0 0 0 0 0 7 2 5 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 4 0 0 0 0 3 11 7 23 0 0 0 0 0 0 3 0 0 1 0 2 4 0 0 0 0 1 3 0 0 2 1 2 0 1 3 0 0 1 0 5 0 6 1 0 0 0 0 0 0
"Lgi1" 1 0 1 5 0 0 2 3 0 8 2 5 0 0 1 0 0 0 2 0 0 0 0 0 1 0 4 0 0 0 3 1 2 0 0 0 0 0 4 3 0 0 1 2 0 0 3 2 0 1 2 1 0 0 0 0 1 0 0 1 0 2 6 3 0 0 10 0 0 0 10 0 9 0 5 0 4 2 0 0 0 0 2 0 2 2 0 3 3 0 0 2 3 2 7 0 0 0 0 3 1 0 4 0 11 0 0 0 2 5 3 0 0 0 1 3 1 1 9 0 0 0 3 0 0 2 2 2 7 0 0 0 0 0 1 2 0 1 0 1 0 0 0 1 0 0 6 0 1 1 8 0 0 2 0 9 4 2 5 1 2 0 0 0 0 3 0 2 4 0 3 0 0 0 1 0 1 1 0 0 1 0 1 0 2 2 3 0 4 0 2 0 4 0 0 0 0 0 0 0
"Dock3" 1 0 0 4 0 0 2 4 2 5 1 2 0 0 1 0 3 0 5 2 1 3 0 0 5 0 1 0 2 0 1 0 3 1 2 1 0 0 3 15 0 0 0 4 0 0 0 5 0 3 1 7 0 3 0 0 0 0 0 0 0 1 2 2 0 0 5 0 0 2 1 0 5 0 2 0 3 0 0 0 0 4 1 0 3 3 0 4 5 0 0 0 1 3 6 0 0 0 0 4 4 0 0 1 4 0 0 0 4 0 4 0 2 1 0 3 0 0 7 2 0 0 2 0 0 7 4 1 1 1 0 2 2 1 1 0 2 1 0 1 2 0 0 6 0 0 2 0 0 1 3 0 2 0 0 2 1 2 2 1 5 0 0 0 0 2 0 0 4 0 2 2 2 0 4 0 1 6 0 1 2 2 0 0 3 0 0 0 1 1 2 0 0 4 0 0 0 0 0 0
"Sult4a1" 2 4 0 8 0 1 5 3 0 10 4 2 0 2 1 0 4 1 24 1 0 0 0 0 1 0 7 0 0 0 7 3 5 4 3 4 0 0 7 12 0 2 0 15 0 0 2 14 0 1 2 2 0 7 0 0 8 0 0 5 0 4 9 3 0 5 4 0 0 2 9 0 6 0 17 0 6 0 0 1 5 10 1 0 16 3 0 17 6 1 0 0 2 5 14 0 0 0 0 16 3 0 2 0 4 0 0 0 1 4 14 1 0 0 0 1 10 7 4 6 0 0 4 0 1 21 1 1 5 0 0 2 0 0 1 3 0 7 2 4 0 0 0 2 0 0 2 0 0 3 2 1 0 0 0 8 11 6 10 4 8 0 0 0 0 1 0 6 17 0 2 1 0 2 6 0 3 11 0 0 6 0 3 0 8 1 0 0 12 3 6 0 1 1 0 0 0 1 0 0
"Lmo4" 1 3 4 7 0 5 4 1 2 4 1 0 1 2 2 1 14 2 13 2 0 0 0 0 21 1 3 0 0 0 5 4 2 6 19 2 1 0 1 1 0 7 4 4 3 0 0 28 0 9 12 0 0 1 0 0 11 0 0 14 0 2 34 1 1 3 0 3 0 2 3 0 11 0 41 0 2 3 0 0 0 0 0 2 8 4 0 8 0 7 0 0 0 1 0 0 0 1 1 0 0 0 18 0 6 0 0 0 0 12 1 0 0 0 0 3 8 7 31 2 0 0 10 0 2 0 3 1 7 3 0 1 0 0 6 6 0 14 0 12 0 0 0 7 0 0 0 0 0 4 3 6 1 0 0 4 15 2 49 1 7 0 0 0 7 0 0 2 8 0 0 8 0 1 12 0 0 7 0 1 6 0 6 0 9 2 7 0 4 9 4 0 10 7 0 0 0 2 0 0
"Faim2" 0 1 0 11 0 0 1 2 0 1 3 0 0 2 0 0 4 0 6 0 0 0 0 0 1 0 1 0 1 0 0 0 6 2 3 0 0 0 4 3 0 0 1 6 2 0 0 7 0 0 0 0 1 1 0 1 2 0 0 3 0 6 7 2 0 0 5 0 0 2 3 0 2 2 2 0 1 0 0 0 3 7 1 0 5 0 0 1 1 0 0 0 3 7 1 0 0 0 0 2 1 2 0 0 0 0 0 0 5 2 3 1 0 0 0 0 0 1 3 3 0 0 0 0 1 6 6 0 1 0 0 1 0 3 3 0 0 3 0 1 0 0 0 0 0 0 1 0 0 0 7 0 0 0 0 5 4 2 5 2 6 0 0 0 0 0 0 2 8 0 1 0 0 0 0 0 0 5 0 0 3 1 1 2 0 0 0 0 5 4 1 1 1 1 0 0 0 0 0 0
"A830010M20Rik" 0 1 1 3 0 5 3 0 1 1 1 0 0 0 4 0 4 0 2 0 0 2 0 0 3 0 3 0 0 0 1 1 1 0 0 0 0 0 3 3 0 1 0 2 0 0 2 14 0 2 2 3 0 1 0 0 2 0 0 6 0 0 4 1 0 1 0 2 0 0 3 0 9 0 5 0 3 1 0 0 1 4 1 0 7 3 0 2 0 1 0 0 1 2 2 0 1 0 0 4 0 2 1 0 4 2 0 0 0 4 0 1 0 0 0 1 2 1 7 0 0 0 1 0 2 2 4 3 5 0 0 0 0 0 3 0 0 0 0 2 0 0 0 1 0 0 2 0 0 1 1 0 0 0 1 6 7 1 2 3 3 0 1 0 0 1 0 3 4 1 2 1 0 0 1 0 2 0 0 0 1 0 0 0 1 2 0 0 2 2 2 0 2 1 0 0 0 0 0 0
